gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1320455590	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/38fe902d9-1c81-45ad-b1a3-76215710b10a	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Triturus vittatus (Gray, 1835)"	"Triturus vittatus"		TR	Adana	"Adana Province"	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	37.0	35.3292							1906			1906	2431812	2431811	PRESERVED_SPECIMEN	USNM	HERP	"USNM 65512"				CC0_1_0					2026-06-11T16:28:33.423Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1317812712	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/31afa372d-d6bc-40bc-9a3d-b92bdfbb3d7d	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Triturus vittatus (Gray, 1835)"	"Triturus vittatus"		TR	Adana	"Adana Province"	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862	37.0	35.3292							1906			1906	2431812	2431811	PRESERVED_SPECIMEN	USNM	HERP	"USNM 65513"				CC0_1_0					2026-06-11T16:25:38.726Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
621066628	9cd0014c-b7b1-4ed1-bef7-0225acfa4ef2	urn:catalog:SMNS:Herpetologie:1635	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Triturus vittatus (Gray, 1835)"	"Triturus vittatus"		IL	Jaffa		PRESENT		99ea0c90-61e5-11dc-a64c-b8a03c50a862	32.03333	34.75	20428.0						1896			1896	2431812	2431811	PRESERVED_SPECIMEN	SMNS	Herpetologie	1635				CC_BY_NC_4_0		Grossmann		native	2026-06-11T23:53:15.630Z		
5001934449	6c8d87be-829d-4364-b2bc-578258761cc2	INPA-770694	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Triturus vittatus"		IL			PRESENT	1	4f160e00-329d-11d9-8439-b8a03c50a862	31.861571	34.935449	0.71						2008-07-08	8	7	2008	2431811	2431811	HUMAN_OBSERVATION	INPA		770694				CC_BY_NC_4_0					2026-06-11T22:34:45.576Z		
5002696842	6c8d87be-829d-4364-b2bc-578258761cc2	INPA-4034271	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Triturus vittatus"		IL			PRESENT	1	4f160e00-329d-11d9-8439-b8a03c50a862	31.654149	34.936048	0.71						2022-07-27	27	7	2022	2431811	2431811	HUMAN_OBSERVATION	INPA		4034271				CC_BY_NC_4_0					2026-06-11T22:34:55.940Z		
5002348038	6c8d87be-829d-4364-b2bc-578258761cc2	INPA-1987491	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Triturus vittatus"		IL			PRESENT	1	4f160e00-329d-11d9-8439-b8a03c50a862	32.131774	34.807483	0.71						2020-02-02	2	2	2020	2431811	2431811	HUMAN_OBSERVATION	INPA		1987491				CC_BY_NC_4_0					2026-06-11T22:35:12.664Z		
5002832707	6c8d87be-829d-4364-b2bc-578258761cc2	INPA-4871943	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Triturus vittatus"		IL			PRESENT	1	4f160e00-329d-11d9-8439-b8a03c50a862	32.682426	35.103614	0.71						2024-04-18	18	4	2024	2431811	2431811	HUMAN_OBSERVATION	INPA		4871943				CC_BY_NC_4_0					2026-06-11T22:35:17.826Z		
5002794653	6c8d87be-829d-4364-b2bc-578258761cc2	INPA-4793883	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Triturus vittatus"		IL			PRESENT	1	4f160e00-329d-11d9-8439-b8a03c50a862	31.825599	34.988367	0.71						2024-02-25	25	2	2024	2431811	2431811	HUMAN_OBSERVATION	INPA		4793883				CC_BY_NC_4_0					2026-06-11T22:34:48.680Z		
5001634956	6c8d87be-829d-4364-b2bc-578258761cc2	INPA-356663	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Triturus vittatus"		IL			PRESENT	1	4f160e00-329d-11d9-8439-b8a03c50a862	32.736446	35.028872	0.71						1997-01-23	23	1	1997	2431811	2431811	HUMAN_OBSERVATION	INPA		356663				CC_BY_NC_4_0					2026-06-11T22:34:35.924Z		
5001901097	6c8d87be-829d-4364-b2bc-578258761cc2	INPA-750527	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ommatotriton	"Ommatotriton vittatus"		SPECIES	"Ommatotriton vittatus (Gray, 1835)"	"Triturus vittatus"		IL			PRESENT	1	4f160e00-329d-11d9-8439-b8a03c50a862	32.574201	35.082436	0.71						2012-02-08	8	2	2012	2431811	2431811	HUMAN_OBSERVATION	INPA		750527				CC_BY_NC_4_0					2026-06-11T22:34:38.493Z		
